地址,建物型態,訂約日期,樓別/樓高,家具,緯度,經度,備註,租金,總面積(坪),出租型態,房型,租賃期間,屋齡,主要用途
中壢區青商路１３３號十一樓,住宅大樓(11層含以上有電梯),114/03/01,十一層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,25.007120811042668,121.21815173266482,管理費3160元出租人負擔,"25,340",43.93,整戶出租,3房1廳2衛,1140310~1150309,11,集合住宅
中壢區龍岡路二段３６７之３號十五樓,住宅大樓(11層含以上有電梯),114/03/01,十五層/十六層,冷氣、熱水器、洗衣機、冰箱,24.940977847683925,121.23087814002459,承租人每月負擔管理費2000元,"17,000",52.47,整戶出租,3房1廳2衛,1140301~1150228,31,住家用
中壢區松勤路１９號８樓之３,住宅大樓(11層含以上有電梯),114/03/01,八層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96079321235853,121.16430282393308,"機車位一個
每月管理費1500由承租人負擔出租人繳納","18,500",28.07,整戶出租,2房1廳1衛,1140301~1150228,5,集合住宅
中壢區中美路二段９８號,店面（店舖),114/03/03,一層/二層,,24.96018607800869,121.22175309216479,租金總額含稅;,"55,000",45.18,,,1140401~1170331,57,商業用
中壢區松勤路１９號十五樓之３,住宅大樓(11層含以上有電梯),114/03/03,十五層/十五層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.96079321235853,121.16430282393308,,"17,500",37.29,整戶出租,2房1廳1衛,1140315~1150314,5,集合住宅
中壢區中山東路三段２３０巷８號二樓,住宅大樓(11層含以上有電梯),114/03/04,二層/十三層,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.942012642656834,121.2498229328741,,"9,500",42.86,整戶出租,3房2廳2衛,1140305~1150304,31,住家用
中壢區華美一路１６巷８號六樓,華廈(10層含以下有電梯),114/03/03,六層/九層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.95714121568065,121.2620742245651,,"18,000",30.52,整戶出租,3房2廳2衛,1140406~1150405,24,住家用
中壢區中山東路二段７９之１號五樓,華廈(10層含以下有電梯),114/03/01,五層/七層,冷氣、熱水器、電視機、冰箱、傢俱,24.953695646792234,121.23864608463727,承租人每月負擔管理費500元,"16,000",30.04,整戶出租,3房1廳1衛,1140301~1150228,33,住家用
中壢區環中東路二段３１２巷１２號八樓,住宅大樓(11層含以上有電梯),114/03/01,八層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、傢俱,24.948672045473213,121.2353685084589,管理費800元出租人負擔,"6,700",17.64,獨立套房,1房1廳1衛,1140316~1150315,26,住家用
中壢區莊敬路８２９巷３６號六樓,住宅大樓(11層含以上有電梯),114/03/01,六層/十四層,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,24.963004508329238,121.25463894638189,承租人每月負擔管理費2500元,"21,500",31.20,整戶出租,2房1廳1衛,1140301~1150228,11,集合住宅
